match_id,api_football_fixture_id,statsbomb_match_id,statsbomb_competition_id,statsbomb_season_id
1,1145509,,55,282
2,1145510,,55,282
3,1145511,,55,282
4,1145512,,55,282
5,1189846,,55,282
6,1145513,,55,282
7,1145514,,55,282
8,1189847,,55,282
9,1145516,,55,282
10,1145515,,55,282
11,1189848,,55,282
12,1145517,,55,282
13,1145520,,55,282
14,1145519,,55,282
15,1145518,,55,282
16,1145523,,55,282
17,1145522,,55,282
18,1145521,,55,282
19,1189849,,55,282
20,1189850,,55,282
21,1145524,,55,282
22,1189851,,55,282
23,1145526,,55,282
24,1145525,,55,282
25,1145527,,55,282
26,1145528,,55,282
27,1145529,,55,282
28,1145530,,55,282
29,1189852,,55,282
30,1145533,,55,282
31,1145531,,55,282
32,1145532,,55,282
33,1189853,,55,282
34,1145534,,55,282
35,1145535,,55,282
36,1189854,,55,282
37,1212958,,55,282
38,1214156,,55,282
39,1215074,,55,282
40,1215075,,55,282
41,1215073,,55,282
42,1215076,,55,282
43,1215077,,55,282
44,1215078,,55,282
45,1219688,,55,282
46,1219959,,55,282
47,1219689,,55,282
48,1220308,,55,282
49,1225853,,55,282
50,1227539,,55,282
51,1232551,,55,282
