fixture_id,home_team,away_team
1145509,Germany,Scotland
1145510,Hungary,Switzerland
1145511,Spain,Croatia
1145512,Italy,Albania
1189846,Poland,Netherlands
1145513,Slovenia,Denmark
1145514,Serbia,England
1189847,Romania,Ukraine
1145516,Belgium,Slovakia
1145515,Austria,France
1189848,Türkiye,Georgia
1145517,Portugal,Czechia
1145520,Croatia,Albania
1145519,Germany,Hungary
1145518,Scotland,Switzerland
1145523,Slovenia,Serbia
1145522,Denmark,England
1145521,Spain,Italy
1189849,Slovakia,Ukraine
1189850,Poland,Austria
1145524,Netherlands,France
1189851,Georgia,Czechia
1145526,Türkiye,Portugal
1145525,Belgium,Romania
1145527,Switzerland,Germany
1145528,Scotland,Hungary
1145529,Croatia,Italy
1145530,Albania,Spain
1189852,France,Poland
1145533,Netherlands,Austria
1145531,England,Slovenia
1145532,Denmark,Serbia
1189853,Ukraine,Belgium
1145534,Slovakia,Romania
1145535,Czechia,Türkiye
1189854,Georgia,Portugal
1212958,Switzerland,Italy
1214156,Germany,Denmark
1215074,England,Slovakia
1215075,Spain,Georgia
1215073,France,Belgium
1215076,Portugal,Slovenia
1215077,Romania,Netherlands
1215078,Austria,Türkiye
1219688,Spain,Germany
1219959,Portugal,France
1219689,England,Switzerland
1220308,Netherlands,Türkiye
1225853,Spain,France
1227539,Netherlands,England
1232551,Spain,England
